Time,RtoR
,13214
,141
,315
,169
,374
,124
,172
,238
,9850
,4728
,5575
,7714
,1532
,4988
,5655
,2028
,10828
,19139
,20996
,246
,170
,22897
,2527
,1260
,692
,10850
,6838
,1689
,493
,970
,25001
,781
,10891
,1044
,3808
,7253
,1880
,376
,6830
,10196
,1577
,12243
,15217
,522
,1292
,10387
,719
,8637
,1459
,9082
,110
,432
,3479
,1793
,688
,2214
,314
,312
,411
,1249
,709
,2034
,1322
,838
,1378
,302
,573
,1238
,248
,798
,940
,1357
,2596
,202
,643
,2740
,793
,269
,134
,647
,457
,498
,214
,777
,3130
,493
,89
,528
,343
,156
,250
,1039
,961
,608
,492
,160
,887
,508
,487
,164
,387
,465
,541
,213
,699
,109
,202
,284
,1589
,484
,2002
,762
,266
,182
,632
,227
,813
,388
,852
,1565
,454
,751
,244
,1005
,991
,986
,748
,245
,1026
,287
,454
,282
,457
,1042
,250
,1666
,1323
,2306
,2340
,447
,1004
,3139
,1126
,181
,388
,406
,1014
,171
,370
,57
,493
,2359
,1480
,204
,1316
,199
,1356
,1887
,985
,573
,532
,1466
,944
,2766
,1040
,1053
,457
,1403
,58
,459
,1046
,326
,384
,1416
,253
,375
,832
,452
,1111
,243
,1233
,539
,519
,96
,312
,97
,933
,702
,322
,85
,427
,92
,1132
,891
,1595
,112
,468
,1086
,1758
,984
,385
,728
,1211
,2710
,1038
,3992
,348
,1000
,791
,520
,1141
,1557
,66
,2430
,235
,858
,1202
,1641
,1371
,9380
,1034
,399
,2157
,1170
,980
,1089
,372
,118
,1578
,2291
,530
,3012
,103
,328
,688
,382
,107
,783
,439
,926
,103
,313
,565
,216
,366
,76
,239
,716
,1649
,1060
,1014
,2303
,1602
,844
,300
,2692
,2522
,929
,127
,222
,1318
,257
,749
,147
,1410
,1290
,2559
,1269
,366
,953
,1242
,1290
,1269
,1290
,682
,1880
,1022
,246
,1243
,976
,341
,189
,581
,521
,795
,583
,386
,587
,210
,538
,732
,1289
,2560
,772
,497
,1434
,1127
,425
,864
,1271
,363
,456
,472
,1269
,1289
,1271
,1291
,1269
,1289
,1272
,1289
,1269
,1288
,1272
,1292
,1269
,1289
,1271
,1291
,1268
,1292
,1270
,1289
,1270
,1290
,1271
,1289
,1271
,1288
,1271
,1290
,1270
,1289
,1271
,1292
,1268
,1289
,1270
,1291
,1270
,1290
,1270
,1290
,1270
,1287
,1273
,1291
,1269
,1289
,1272
,1290
,1268
,1291
,1269
,1291
,1270
,1290
,1270
,1290
,1270
,1290
,1270
,1289
,1270
,1291
,1269
,1291
,1270
,1290
,1269
,1291
,1269
,1290
,1271
,1288
,1272
,1289
,1270
,1291
,1269
,1292
,1268
,1291
,1270
,1289
,1271
,1290
,1270
,1291
,1269
,1289
,1270
,1290
,1271
,1291
,1269
,1289
,1271
,1290
